sk_id;data_referencia;data_extracao;site;categoria;marca;termo_buscado;titulo_anuncio;quantidade_embalagem;preco_total_anuncio;preco_unitario;link
fe18944a7b8b03cce5efef8765113355;2026-06-27;2026-06-27 22:32:48.394030;Amazon;cerveja;Heineken;Cerveja Heineken Lata 350ml;Heineken Cerveja Sleek Lata 350ml Pack 12 Unidades;12;59.9;4.99;https://www.amazon.com.br/Cerveja-Heineken-Pilsen-LATA-350/dp/B0CMXW6ZYB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.a3PcRuRLe393pB7OIiSy4-azYaVLmKA4fGdGYdQO7FATwE-kM232RdXYs_tmfyXpj-nFf__Ky0jBPw_qAd1eAxrPK1Xpkm_JMB6I298YHSH-YBsixNahPLya1YNJfCg6MaqePH3nG2hdjReYbUpET2hw_kZ5rsCF_miw5EnCOGyidVi7VrqQo2iBJTmDcQjrU5caXNBt9KZwcgAAG8YG3BO_ctNdtHzw0CQxVJrCFteIm7f3nP00xobhtZbMmL3jsB5zP9QCkbGEybj0-2chirg-v3IOLn73q8Fri3dzxxc.ZOksqeSrAKwj78Ndx00xBBghGGcGThY7DBudXK7Pnyc&dib_tag=se&keywords=Cerveja+Heineken+350ml&qid=1782610245&s=grocery&sr=1-1
e543c568f5c3029ff39312ccbc0f630e;2026-06-27;2026-06-27 22:33:06.186965;Amazon;whisky;Johnnie Walker;Whisky Johnnie Walker Red Label 1L;Whisky Johnnie Walker Red Label 1L;1;79.64;79.64;https://www.amazon.com.br/Whisky-Johnnie-Walker-Label-Blended/dp/B004Q47N5G/ref=sr_1_1?dib=eyJ2IjoiMSJ9.6_W5nvO8nbL1-obijYzgd4X9sGjwjKD8kpiurG_IqMHsdZfMaCB3YNEZKYKFCKHBpxrQzQdlPFZ-HoUXvF-UUYrV8ZFh7Wqd0xtEUJ6qR5BugE26iY5X01mahRCIjxceQexjmqLmeX2oCb3syHuXu5rys3IipDzBcEGmhaF2gHnTU6qhxu_QA4LecXxl4ISxw7UL-eqsxtrr-uEJRESq_jwYWWxMCsr9KX40e23AUcXJm7p0aCMv1wJ77vASCX0OOaYFoAy0gHizyUx3lUYr_J9B5mC-VF3RGOspXcTufbA.ut1t-b7qDnMOZR2vs-cnIQQqMpkgeC18q49n-8bNV7E&dib_tag=se&keywords=Whisky+Johnnie+Walker+Red+Label+1L&qid=1782610264&s=grocery&sr=1-1
94a578175e582e727a2c460e867793de;2026-06-27;2026-06-27 22:33:15.223497;Amazon;energetico;Red Bull;Energetico Red Bull Energy Drink Lata 250ml;Red Bull Energético, Energy Drink, 250ml, 4 latas;4;29.96;7.49;https://www.amazon.com.br/Energ%C3%A9tico-Energy-Drink-250ml-latas/dp/B004HOEU4M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.JvY5LmZFXrijIu9gzwUf2f-UfWP59AxGcMubRF5bp1PV-y_xFzgr57n1cWxyzGNNKtIOzflNgytShldn9bbkKXM9GSAfdQ09kNXIvKzf1MJg-ZqzqJlVgghwyoP4NrW9F4Mq_9fT1syTLn4IIaR4rIhJIbVylh-sLVOKDmkFLdkOBrvdsjZQY_p-UI4IsBdX9Y-W1Nsv_QMl6auo9KVm7eNZRbBzntTjIEbAb7Yt-fBuHqLNnPx7rXVaxFy6LBj77am_GHLGoO6OghZpNt6TzneIFsRo5jW_ePDjg7BLDfk.Zu5Tewd3ItpmDyExSANXXZ8WdetXtanuhH5VZgCJUFs&dib_tag=se&keywords=Energetico+Red+Bull+Energy+Drink+250ml&qid=1782610273&s=grocery&sr=1-1
53da3061fe5d292ef0c175856ab6fa89;2026-06-27;2026-06-27 22:32:57.202212;Amazon;cerveja;Spaten;Cerveja Spaten Lata 350ml;Pack Cerveja Spaten, Puro Malte, 350ml, Lata - 12 Unidades;12;55.79;4.65;https://www.amazon.com.br/Pack-Cerveja-Spaten-Malte-350ml/dp/B0CN9NGTXK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.2H54ArIn9F0DKsCKbNWMtJ6YKAD2_ym-xJ33f1gh1gftk67KJI4GjSHJQCkLqY9_bqa8cUBOLXxn75OWuq8e_CdnLDiMV5FblCKG1dE6IBJYOWXHkwry2TszDNCNTp0cK_XVH9tnZYaIp0nN_8rR7YmDko2ae-To1HER_Sc41sDR01sYQPA8wV9nzZifSglZW70cnMiKNHqvk3o0eMqmTM58kIJHcckejQtPq8lU8jh5REEvgnkXD2ezjIqD8ure21CGhmGt2o0_Oe4Csqny39FS-kcKztcseZs5QmzHRec.1wtDm8Vjwfz15j3aHh8G7D3TF5utcA4eZWMiQNcPm9o&dib_tag=se&keywords=Cerveja+Spaten+350ml&qid=1782610255&s=grocery&sr=1-1
90086eabfaf5273f567e605a03a2992e;2026-06-27;2026-06-27 22:34:49.901681;Atacadao;refrigerante;Coca-Cola;Refrigerante Coca-Cola Pet 2L;Refrigerante Coca-Cola 2L;1;12.19;12.19;Extraido via Menu Dropdown
87d18bf84c8720feea9b487a79ca46b1;2026-06-27;2026-06-27 22:34:14.787808;Atacadao;cerveja;Heineken;Cerveja Heineken Lata 350ml;Cerveja Heineken Sleek 350ml;1;4.69;4.69;Extraido via Menu Dropdown
095e1d5d7dd85f78f783b1e5da7d6d00;2026-06-27;2026-06-27 22:34:32.312291;Atacadao;whisky;Johnnie Walker;Whisky Johnnie Walker Red Label 1L;Whisky Johnnie Walker Red Label 1L;1;79.9;79.9;Extraido via Menu Dropdown
1cb7c09c405dac37bc46c9732d17ad37;2026-06-27;2026-06-27 22:34:41.670809;Atacadao;energetico;Red Bull;Energetico Red Bull Energy Drink Lata 250ml;Energético Red Bull Energy Drink 250ml;1;9.49;9.49;Extraido via Menu Dropdown
3e0c349ba27567ae7c29b0f3daf061fc;2026-06-27;2026-06-27 22:34:23.325337;Atacadao;cerveja;Spaten;Cerveja Spaten Lata 350ml;Cerveja Spaten Puro Malte 350ml;1;3.99;3.99;Extraido via Menu Dropdown
7210cf30d6bd9f1a20c1b40590cc11a8;2026-06-27;2026-06-27 22:35:23.014695;PaoDeAcucar;cerveja;Heineken;Cerveja Heineken Lata 350ml;Cerveja Heineken Lata Sleek 350ml;1;5.29;5.29;https://www.paodeacucar.com/produto/1606865/cerveja-heineken-lata-sleek-350ml
0e0f9d8ef1a4fa74f108ddca3da04a61;2026-06-27;2026-06-27 22:35:49.713185;PaoDeAcucar;whisky;Johnnie Walker;Whisky Johnnie Walker Red Label 1L;Whisky Escocês Blended Red Label Johnnie Walker Garrafa 1l;1;89.99;89.99;https://www.paodeacucar.com/produto/16238/whisky-escoces-blended-red-label-johnnie-walker-garrafa-1l
b17ee913cba10829cd9b1a452f618a4c;2026-06-27;2026-06-27 22:36:01.407271;PaoDeAcucar;energetico;Red Bull;Energetico Red Bull Energy Drink Lata 250ml;Energético Red Bull Energy Drink 250ml - 4 Latas;4;29.96;7.49;https://www.paodeacucar.com/produto/150964/energetico-red-bull-energy-drink-250ml---4-latas
c86603b0fd3e1b099eda6f6a4f9345cc;2026-06-27;2026-06-27 22:35:36.935654;PaoDeAcucar;cerveja;Spaten;Cerveja Spaten Lata 350ml;Cerveja Spaten Puro Malte Lata 350ml - 2 Unidades;2;7.98;3.99;https://www.paodeacucar.com/produto/1447228/cerveja-spaten-puro-malte-lata-350ml---2-unidades
a986a99efec8b5bf99949a1712c90a7f;2026-06-27;2026-06-27 22:37:35.681223;TendaAtacado;refrigerante;Coca-Cola;Refrigerante Coca-Cola Pet 2L;Refrigerante Original Menos Açúcar Coca-Cola Garrafa 2l;1;9.69;9.69;https://www.tendaatacado.com.br/produto/refrigerante-coca-cola-original-garrafa-2l
a3351173f3a0f404f5b558224effc59e;2026-06-27;2026-06-27 22:36:38.858922;TendaAtacado;cerveja;Heineken;Cerveja Heineken Lata 350ml;Cerveja Heineken Lata Sleek 350ml;1;5.49;5.49;https://www.tendaatacado.com.br/produto/cerveja-heineken-lata-350ml
5c779e54f51934100661e73b9f837e3f;2026-06-27;2026-06-27 22:37:07.452396;TendaAtacado;whisky;Johnnie Walker;Whisky Johnnie Walker Red Label 1L;Whisky Escocês Red Label Johnnie Walker 1L;1;104.9;104.9;https://www.tendaatacado.com.br/produto/whisky-escoces-red-label-johnnie-walker-1l-417
dcbaaf34e08489666ef80e9108ad22cc;2026-06-27;2026-06-27 22:37:21.689447;TendaAtacado;energetico;Red Bull;Energetico Red Bull Energy Drink Lata 250ml;Energético Red Bull Energy Drink 250ml;1;7.49;7.49;https://www.tendaatacado.com.br/produto/energetico-red-bull-250ml-1020
2cc3913792a74114739c1d120251805a;2026-06-27;2026-06-27 22:36:52.682196;TendaAtacado;cerveja;Spaten;Cerveja Spaten Lata 350ml;Cerveja Puro Malte Munich Helles Spaten Lata 350ml;1;4.89;4.89;https://www.tendaatacado.com.br/produto/cerveja-puro-malte-munich-helles-spaten-lata-350ml
a61ee55eab40b42671b17f764149d8d4;2026-06-27;2026-06-27 22:38:47.384966;ZeDelivery;cerveja;Heineken;Heineken 350ml;Heineken 350ml;1;6.49;6.49;Extraido via Menu de Busca
802150fa88382a1f93fe79526aedb1a6;2026-06-27;2026-06-27 22:39:07.547663;ZeDelivery;whisky;Johnnie Walker;Johnnie Walker Red Label 1L;Whisky Johnnie Walker Red Label 1L;1;110.19;110.19;Extraido via Menu de Busca
194cd7793393fd5de854b4443e6fb496;2026-06-27;2026-06-27 22:39:18.753170;ZeDelivery;energetico;Red Bull;Red Bull Energy Drink 250ml;Energético Red Bull Energy Drink 250ml;1;10.99;10.99;Extraido via Menu de Busca
a7980560aca80e81486378b3963ce5c2;2026-06-27;2026-06-27 22:38:56.338798;ZeDelivery;cerveja;Spaten;Spaten 350ml;Spaten 350ml;1;4.89;4.89;Extraido via Menu de Busca
